ref,book_osis,chapter,verse_start,verse_end,kjv_text,cuvs_text,has_commentary,summary_en,summary_zh,bullet_points_en,bullet_points_zh,sources,evidence,model,prompt_version,created_at,status,error,keep_drop,my_edit_en,my_edit_zh,notes
1Cor 4:3,1Cor,4,3,3,,我被你們論斷，或被別人論斷，我都以為極小的事；連我自己也不論斷自己。,1,"The paragraph notes that in New Testament usage “the day” is often associated with judgment and can function as a synonym for judgment. 1 Corinthians 4:3 is cited as an example of this usage, where Paul’s phrase rendered “man’s judgment” reflects the idiom of “day” meaning a judicial evaluation.",该段指出，新约中“那日/主的日子”常与审判相关，几乎成为“审判”的同义词。林前4:3被作为此用法的例证：保罗所说“人的审判”（可理解为“人的日子”）体现“日子”用来表示审判/裁判的语义。,"[""In the NT, “the day” frequently denotes judgment."", ""1 Corinthians 4:3 exemplifies this: “man’s judgment” reflects the idiom where “day” means a judicial assessment.""]","[""在新约中，“那日/主的日子”常用来指审判。"", ""林前4:3就是例证：“人的审判”体现“日子”可表示法庭式的评判。""]",ent — https://www.biblicaltheology.org/ent.pdf,"- para_id=166, p_index=10: Links the NT term “day” with judgment and explicitly cites 1 Cor 4:3 as an example.",,,,,,,,,
  ent | https://www.biblicaltheology.org/ent.pdf,,,,,,,,,,,,,,,,,,,,,,
  V. The Parousia 1. Definition: The word denotes “coming,” “arrival.” It is never applied to the incarnation of Christ, and could be applied to His second coming only, partly because it had already become a fixed Messianic term," partly because there was a point of view from which the future appearance of Jesus appeared the sole adequate expression of His Messianic dignity and glory. The explicit distinction between “first advent” and “second advent” is not found in the New Testament. It occurs in …""",gpt-5,v1,2025-12-16T06:11:09-05:00,ok,,,,,,,,,,,,,,
1Cor 4:3-5,1Cor,4,3,5,,3. 我被你們論斷，或被別人論斷，我都以為極小的事；連我自己也不論斷自己。,,,,,,,,,,,,,,,,
4. 我雖不覺得自己有錯，卻也不能因此得以稱義；但判斷我的乃是主。,,,,,,,,,,,,,,,,,,,,,,
"5. 所以，時候未到，甚麼都不要論斷，只等主來，他要照出暗中的隱情，顯明人心的意念。那時，各人要從神那裏得着稱讚。""",1,"The excerpt uses 1 Corinthians 4:3-5 as a proof-text that, in New Testament eschatology, God is the judge in the final, definite judgment associated with Christ’s parousia. It situates Paul’s statement “the Lord judges me” within the broader NT theme that judgment belongs to God (and also, in other texts, to Christ).",该段将林前4:3-5用作证据，表明新约末世论认为最终审判是在主再来时发生的、由神施行的定案式审判。作者把保罗“判断我的乃是主”的话置于新约更广的主题中：审判属于神（并且在其他经文中也归于基督）。,"[""Judgment is a definite event tied to Christ’s parousia, not an ongoing process."", ""In this framework, 1 Cor 4:3-5 supports that God is the judge who will expose hidden things and render praise or verdict."", ""NT also attributes judgment to Christ in other passages, integrating both themes.""]","[""审判是与主的再来相连的一个确定事件，而非持续过程。"", ""在此脉络下，林前4:3-5支持“神是审判者”，祂要揭露隐藏之事并施行称赞或裁决。"", ""新约在其他经文中也把审判权归于基督，二者被整合于同一末世图景。""]",ent — https://www.biblicaltheology.org/ent.pdf,"- para_id=190, p_index=34: Lists 1 Cor 4:3-5 under texts showing that God is the judge in the final judgment linked to the parousia.",,,,,,,,,,,,,,,
  ent | https://www.biblicaltheology.org/ent.pdf,,,,,,,,,,,,,,,,,,,,,,
  VIII. The Judgment The judgment takes place on a “day” (Matthew 7:22; 10:15; 24:36; Luke 10:12; 21:34; 1 Corinthians 1:8; 3:13; 2 Timothy 4:8; Revelation 6:17), but this rests on the Old Testament conception of “the day of Yahweh,” and is not to be taken literally, whence also “hour” interchanges with “day” (Mark 13: 32; Revelation 14:7). While not confined to an astronomical day the judgment is plainly represented as a definitely circumscribed transaction," not as an indefinite process. It coinc …""",gpt-5,v1,2025-12-16T06:11:46-05:00,ok,,,,,,,,,,,,,,
1Cor 4:5,1Cor,4,5,5,,所以，時候未到，甚麼都不要論斷，只等主來，他要照出暗中的隱情，顯明人心的意念。那時，各人要從神那裏得着稱讚。,1,"The excerpt uses 1 Corinthians 4:5 to support that at the final judgment even believers’ works will be evaluated. The last judgment is not nullified by justification; rather, it is a public assize that vindicates God, revealing and assessing works and motives, with the possibility of disapproval of some works yet salvation, and with gracious reward measured according to works rooted in faith. This coheres with 4:5’s theme that the Lord will bring hidden things to light and then each will receive praise from God.",该段引用林前4:5强调：末日审判将临到所有人，连信徒的行为也要受审察。因称义并不使末日审判多余；审判是公开的，为彰显神的公义，要显露隐情、察验动机与行为。即便有些行为被否定，信徒仍得救；赏赐是出于恩典且与信心所结出的“工作”相关。这与4:5所说主来时显明隐情、显露人心意念，并使各人从神得称赞相一致。,"[""1 Cor 4:5 is cited to affirm that believers’ works are included in the final judgment."", ""The last judgment is public and reveals hidden realities and motives, consistent with 4:5’s bringing to light and manifesting counsels of hearts."", ""Justification does not eliminate the need for a last judgment; evaluation of works serves the theodicy (God’s public vindication)."", ""Some works may be disapproved while the believer is saved, and rewards are gracious and tied to faith-produced work.""]","[""借林前4:5表明：信徒的行为也将被末日审判评估。"", ""末日审判是公开的，显露隐情与动机，这与4:5“照出暗中的隐情、显明人心的意念”相符。"", ""称义并不取消末日审判；按行为的评估旨在成就神的公义之昭示。"", ""即便有些行为被否定，信徒仍得救；赏赐出于恩典，与信心所结出的“工作”相关。""]",ent — https://www.biblicaltheology.org/ent.pdf,"- para_id=191, p_index=35: Explicitly lists 1 Cor 4:5 as evidence that believers’ works come under judgment and explains the nature and purpose of the last judgment (public, evaluative, rewarding).",,,,,,,,,
  ent | https://www.biblicaltheology.org/ent.pdf,,,,,,,,,,,,,,,,,,,,,,
  10). In the Fourth Gospel, it is true, He denies that His present activity involves the task of judging (John 8:15; 12:47). That this, however, does not exclude His eschatological judgeship appears from John 5:22, 27 (notice the article in 5:22 “the whole judgment,” which proves the reference to the last day). But even for the present, though not directly, yet indirectly by His appearance and message, Christ according to John effects a judgment among men (8:16; 9:39)," which culminates in His pas …""",gpt-5,v1,2025-12-16T06:12:41-05:00,ok,,,,,,,,
1Cor 4:20,1Cor,4,20,20,,因為神的國不在乎言語，乃在乎權能。,1,"Identifies 1 Corinthians 4:20 as one of the places where Paul uses “the kingdom of God” in a present sense (the believers’ current state), even though Paul more often uses “kingdom” eschatologically. It also notes that the future, eschatological kingdom will have outward, visible embodiment, yet its core is the same spiritual realities that already characterize the present kingdom.",将林前4:20视为保罗少数把“神的国”用作现实时态（指信徒当下所处的状态）的经文之一，尽管保罗通常以末世性意义使用“神的国”。同时指出：将来的末世性国度会有外在、可见的形态，但其核心仍是现今国度所具有的属灵实质。,"[""Paul usually speaks of the kingdom eschatologically, but sometimes of its present reality; 1 Cor 4:20 is cited as a present-kingdom usage."", ""The future kingdom will be outwardly manifested, yet its essence is the same spiritual realities that already define the present kingdom.""]","[""保罗多用“神的国”为末世性概念，但有时指当下的现实；林前4:20被列为现今国度的用例。"", ""将来的国度会外在显现，但其本质与现今国度相同，皆以属灵实质为核心。""]",ent — https://www.biblicaltheology.org/ent.pdf,"- para_id=194, p_index=38: Explicitly lists 1 Cor 4:20 among Pauline uses of “kingdom” in a present sense and explains the relation between present and eschatological aspects of the kingdom.",,,,,,,,,
  ent | https://www.biblicaltheology.org/ent.pdf,,,,,,,,,,,,,,,,,,,,,,
  Jesus, while making the kingdom a present reality, yet continues to speak of it in accordance with its original eschatological usage as “the kingdom” which lies in the future (Matthew 13:43; 25:34; 26:29; Mark 9:47; Luke 12:32; 13:28, 29; 21:31). With Paul the phrase bears preponderatingly an eschatological sense, although occasionally he uses it of the present state of believers (Romans 14: 17; 1 Corinthians 4:20; 6:9, 10; 15:24," 50; Galatians 5:21; Ephesians 5:5; Colossians 1:13; 4:11; 1 Thess …""",gpt-5,v1,2025-12-16T06:13:39-05:00,ok,,,,,,,,,,,,
1Cor 5:5,1Cor,5,5,5,,要把這樣的人交給撒但，敗壞他的肉體，使他的靈魂在主耶穌的日子可以得救。,1,"The excerpt cites 1 Cor 5:5 to show that the OT “day of Yahweh” becomes in the NT “the day of the Lord (Jesus),” indicating that Christ himself is the judge at the final, definite judgment coinciding with his parousia. Thus, in 1 Cor 5:5 the “day of the Lord Jesus” refers to the eschatological judgment day, not an ongoing process.",该段以林前5:5为证，说明旧约的“耶和华的日子”在新约中成为“主（耶稣）的日子”，表明基督亲自行使终末审判，并且审判与祂的再临同时发生、为一次明确的事件。因此，林前5:5中的“主耶稣的日子”指末世审判之日，而非持续的过程。,"[""1 Cor 5:5 supports that “the day of the Lord (Jesus)” is the eschatological judgment day under Christ’s judicial authority."", ""Judgment is a definite event that coincides with Christ’s parousia, rather than an ongoing process."", ""The NT ‘day’ language stems from the OT “day of Yahweh” and can interchange with ‘hour.’""]","[""林前5:5表明“主（耶稣）的日子”是基督掌权施行审判的末世之日。"", ""审判与基督再临同时发生，是一次明确的事件，而非持续的过程。"", ""新约中的“日子/时辰”用语承接自旧约“耶和华的日子”。""]",ent — https://www.biblicaltheology.org/ent.pdf,"- para_id=190, p_index=34: Explicitly lists 1 Cor 5:5 to support that the NT ‘day of the Lord’ refers to Christ as judge and that judgment is a definite event tied to the parousia.",,,,,,,,,
  ent | https://www.biblicaltheology.org/ent.pdf,,,,,,,,,,,,,,,,,,,,,,
  VIII. The Judgment The judgment takes place on a “day” (Matthew 7:22; 10:15; 24:36; Luke 10:12; 21:34; 1 Corinthians 1:8; 3:13; 2 Timothy 4:8; Revelation 6:17), but this rests on the Old Testament conception of “the day of Yahweh,” and is not to be taken literally, whence also “hour” interchanges with “day” (Mark 13: 32; Revelation 14:7). While not confined to an astronomical day the judgment is plainly represented as a definitely circumscribed transaction," not as an indefinite process. It coinc …""",gpt-5,v1,2025-12-16T06:14:30-05:00,ok,,,,,,,,,,,,,,
1Cor 5:7,1Cor,5,7,7,,你們既是無酵的麵，應當把舊酵除淨，好使你們成為新團；因為我們逾越節的羔羊基督已經被殺獻祭了。,1,"The excerpt uses 1 Corinthians 5:7 as clear evidence that Paul explicitly presents Christ as the Passover, thereby affirming the sacrificial nature of both the Old Testament type (Passover) and the antitype (Christ). This supports reading Paul’s broader ‘blood of Christ’ language as sacrificial (propitiatory), not merely as indicating a violent death.",该段以林前5:7为明确证据：保罗将基督与逾越节（旧约的型）相比较，明确肯定两者皆具祭祀性质（型与所指的本体）。因此，应将保罗关于“基督之血”的表述理解为祭祀性的（带有赎罪/除罪含义），而非仅仅指一种暴力致死。,"[""In 1 Cor 5:7 Paul compares Christ to the Passover, explicitly affirming the sacrificial character of both type and antitype."", ""Thus the verse is a clear instance of explicit sacrificial language in Paul."", ""This supports interpreting references to Christ’s blood as sacrificial/propitiatory rather than merely as the sign of a violent death.""]","[""林前5:7把基督与逾越节相提并论，明确肯定型与本体皆为祭祀性的。"", ""该节是保罗明确使用祭祀语言的清楚例证。"", ""由此支持将“基督之血”理解为祭祀/赎罪性的，而非仅仅表示一种暴力死亡。""]",sipda — https://www.biblicaltheology.org/sipda.pdf,"- para_id=716, p_index=2: Explicitly states that in 1 Cor 5:7 Paul compares Christ to the Passover and thereby affirms the sacrificial character of both type and antitype, using this to argue for sacrificial import in Paul’s blood-language.",,,,,,,,,
  sipda | https://www.biblicaltheology.org/sipda.pdf,,,,,,,,,,,,,,,,,,,,,,
  the sacrificial idea in Paul’s mind by the scarcity of explicit sacrificial language in his writings. But the question may be raised whether the passages which contain the idea of sacrifice more or less explicitly are actually so few in number as Weiss and others would have us believe. First of all we have the classical passage, Romans 3:25, 26. Next the words quoted by the apostle from the institution of the Supper," in which the blood of Christ is represented as sacrificial blood inaugurating t …""",gpt-5,v1,2025-12-16T06:14:55-05:00,ok,,,,,,,,,,,,,,,
1Cor 6:1-3,1Cor,6,1,3,,1. 你們中間有彼此相爭的事，怎敢在不義的人面前求審，不在聖徒面前求審呢？,,,,,,,,,,,,,,,,
2. 豈不知聖徒要審判世界嗎？若世界為你們所審，難道你們不配審判這最小的事嗎？,,,,,,,,,,,,,,,,,,,,,,
"3. 豈不知我們要審判天使嗎？何況今生的事呢？""",1,"The excerpt situates 1 Corinthians 6:1-3 in the context of the final judgment: it uniquely affirms that believers will participate in the act of judging itself, not merely reign. Angels’ role in judgment is ministerial, while believers share in the judicial act; the scope includes evil spirits, which explains Paul’s statement that “we will judge angels.” Other throne/reigning texts do not speak of the judgment proper.",该段将林前6:1-3放在末日审判的脉络中：此处独特地表明信徒将实际参与审判本身，而不只是“与基督一同作王”。天使在审判中的作用是服事性的，而信徒则分担司法性的审判；审判范围包括恶灵/堕落天使，这解释了保罗所说“我们要审判天使”。其他论及宝座/作王的经文并非指审判本身。,"[""1 Cor 6:1-3 uniquely teaches believers’ participation in the judicial act of the last judgment, not merely reigning."", ""Angels’ part in judgment is ministerial; believers share in judging."", ""The judgment includes evil spirits/angels, aligning with “we will judge angels.”"", ""Passages about sitting on thrones (e.g., Mt 19:28; Lk 22:30; Rev 3:21) refer to reigning, not the judgment proper.""]","[""林前6:1-3独特地教导信徒将参与末日审判的司法性行动，而非仅仅作王掌权。"", ""天使在审判中的角色是服事性的；信徒则参与审判。"", ""审判也包括恶灵/堕落天使，与“我们要审判天使”相一致。"", ""其他论及宝座/作王的经文（如太19:28；路22:30；启3:21）指作王，并非指审判本身。""]",ent — https://www.biblicaltheology.org/ent.pdf,"- para_id=191, p_index=35: Explicitly states that only 1 Cor 6:1-3 affirms believers’ participation in the act of judgment and connects the verse to judging angels and the scope of the final judgment.",,,,,,,,,,,,,,,
  ent | https://www.biblicaltheology.org/ent.pdf,,,,,,,,,,,,,,,,,,,,,,
  10). In the Fourth Gospel, it is true, He denies that His present activity involves the task of judging (John 8:15; 12:47). That this, however, does not exclude His eschatological judgeship appears from John 5:22, 27 (notice the article in 5:22 “the whole judgment,” which proves the reference to the last day). But even for the present, though not directly, yet indirectly by His appearance and message, Christ according to John effects a judgment among men (8:16; 9:39)," which culminates in His pas …""",gpt-5,v1,2025-12-16T06:15:39-05:00,ok,,,,,,,,
1Cor 6:3,1Cor,6,3,3,,豈不知我們要審判天使嗎？何況今生的事呢？,1,"The paragraph teaches that 1 Corinthians 6:1–3 uniquely affirms believers will participate in the actual judicial act of the last judgment, unlike other texts where “judging” means reigning. The judgment also includes evil spirits; thus “we will judge angels” refers to judging evil angels. By contrast, angels’ role in judgment is ministerial, not judicial.",本段指出：林前6:1–3独特地教导，信徒将实际参与末日审判的司法行为；其他经文中“审判/审理”多指“与基督一同作王”，而非真正的司法审判。此外，审判也包括恶灵，因此“审判天使”应指审判堕落的天使；天使在审判中的角色是服事性的，并非执掌审判。,"[""Believers will have a real role in the act of judgment itself (unique emphasis of 1 Cor 6:1–3)."", ""Other passages about “judging” (e.g., Matt 19:28; Luke 22:30) refer to reigning, not the judicial process."", ""The scope of judgment includes evil spirits; “we will judge angels” refers to evil angels."", ""Angels’ role in judgment is ministerial, not judicial.""]","[""信徒将实际参与末日审判的司法行为（林前6:1–3的独特强调）。"", ""其他提到“审判”的经文（如太19:28；路22:30）主要指与基督同王，并非司法意义上的审判。"", ""审判范围包括恶灵；“审判天使”指对堕落天使的审判。"", ""天使在审判中的角色是服事性的，而非行使审判权。""]",ent — https://www.biblicaltheology.org/ent.pdf,"- para_id=191, p_index=35: Explicitly cites 1 Cor 6:1–3 as affirming believers’ involvement in the act of judgment; distinguishes other texts as about reigning; states that judgment includes evil spirits (1 Cor 6:3), and that angels’ role is ministerial.",,,,,,,,,
  ent | https://www.biblicaltheology.org/ent.pdf,,,,,,,,,,,,,,,,,,,,,,
  10). In the Fourth Gospel, it is true, He denies that His present activity involves the task of judging (John 8:15; 12:47). That this, however, does not exclude His eschatological judgeship appears from John 5:22, 27 (notice the article in 5:22 “the whole judgment,” which proves the reference to the last day). But even for the present, though not directly, yet indirectly by His appearance and message, Christ according to John effects a judgment among men (8:16; 9:39)," which culminates in His pas …""",gpt-5,v1,2025-12-16T06:16:20-05:00,ok,,,,,,,,
1Cor 6:11,1Cor,6,11,11,,你們中間也有人從前是這樣；但如今你們奉主耶穌基督的名，並藉着我們神的靈，已經洗淨，成聖，稱義了。,1,"Vos argues that in 1 Cor 6:11 the Corinthians’ being washed, sanctified, and justified is attributed both to the name of the Lord Jesus and to the Spirit. If “sanctified” (hēgiasthēte) is taken as “consecrated,” the three terms together describe a forensic transaction. Within this judicial sphere the Holy Spirit has a specific role: He is both the seal attesting justification as an accomplished fact and the fruit that presupposes righteousness. The Spirit can be bestowed only on the basis of righteousness, grounded in the exalted Christ, whose resurrection-life in the Spirit is the abiding witness of righteousness for believers.",沃斯指出，林前6:11所说“洗净、成圣、称义”，既归于主耶稣的名，也归于神的灵；若将“成圣”（ἡγιάσθητε）理解为“被奉献/被分别为圣”，则这三步构成一个法庭性质（司法/称义层面）的事务。在此“法理”领域里，圣灵具有特定职分：一方面作为印证，见证称义已成事实；另一方面又作为义的果子，其赐下以“义”为前提。圣灵的赐予建立在基督复活并被高举的现实上——基督在灵里的复活生命，成为为信徒持续作见证的“义”的同在。,"[""The triad “washed–sanctified–justified” is attributed to both Christ’s name and the Spirit."", ""Taking “sanctified” as “consecrated” makes the entire sequence a forensic transaction."", ""In this judicial sphere the Spirit functions as seal and as fruit of righteousness."", ""The Spirit can be given only on the basis of established righteousness."", ""This rests on the exalted Christ’s resurrection-life in the Spirit, the ongoing witness of righteousness.""]","[""“洗净—成圣—称义”同时归于主名与圣灵。"", ""若将“成圣”解为“被奉献”，则三者共同指向一个法理性的行为。"", ""在此法理领域，圣灵既是称义已成之印证，又是义的果子。"", ""圣灵的赐下以既成的义为前提。"", ""这一切根基于基督复活升高、在灵中的生命，对义作持续见证。""]",eapcs — https://www.biblicaltheology.org/eapcs.pdf,"- para_id=134, p_index=18: Explicitly discusses 1 Cor 6:11, attributing washing, sanctifying, and justifying to the Spirit and Christ’s name, and explains the Spirit’s forensic role if hēgiasthēte is taken as “consecrated.”",,,,,,,,,
  eapcs | https://www.biblicaltheology.org/eapcs.pdf,,,,,,,,,,,,,,,,,,,,,,
  exponent of the state of dikaiosunh. This highly characteristic line of thought can perhaps most clearly be traced in its application to Christ. For the same reason that the resurrection of Jesus is in a very real sense the justification of the Christ,32 this can likewise be affirmed of the resurrection-life which ever since that moment Christ lives. The life and glory of the exalted Savior are the product and seal and exponent of His status of righteousness. Speaking in our own terms," and yet f …""",gpt-5,v1,2025-12-16T06:16:55-05:00,ok,,,,,,,,,,,,,,,,
1Cor 6:20,1Cor,6,20,20,,因為你們是重價買來的。所以要在你們的身子上榮耀神。,1,"The author treats 1 Cor 6:20 within Paul’s commercial-forensic redemption imagery. Using the verb “to buy” (agorazō), Paul teaches that believers have been purchased by God at great cost, so they now belong to Him. In this verse, the point is ethical and ownership-oriented: because God bought us, He rightly claims our service and obedience—hence, glorify God in your body. The text does not intend to specify to whom any ransom was paid; pressing that question goes beyond Paul’s purpose here.",作者将林前6:20置于保罗“赎买”（商业—法理）意象中：借用“买”这一动词，保罗强调信徒已被神以重价买来，因此属于神。此处重点在伦理与归属：既然神以高昂代价买了我们，祂就有权要求我们的顺服与事奉——所以要在身体上荣耀神。经文并未意在说明赎价付给谁；追问此点超出保罗在此处的用意。,"[""1 Cor 6:20 uses commercial redemption language (agorazō): believers were “bought with a price.”"", ""Focus: God’s costly purchase creates His ownership claim, obligating believers to obedient service and bodily holiness."", ""Paul’s aim here is not to identify to whom the ransom was paid; that question exceeds the verse’s intent."", ""OT background: redemption often conveys God reclaiming His own possession, informing Paul’s usage.""]","[""林前6:20采用商业性赎买语言（“买”）：信徒“是重价买来的”。"", ""重点：神以高昂代价买属祂的人，确立了祂对我们之归属与要求，呼召顺服与在身体上的圣洁。"", ""此处保罗并未要说明赎价付给谁；追究此点超出经文意图。"", ""旧约背景：赎回常表明神重新取得祂的产业，成为保罗用语的底色。""]",pcred — https://www.biblicaltheology.org/pcred.pdf,"- para_id=518, p_index=1: Identifies the redemption vocabulary (including agorazein in 1 Cor 6:20) and the OT background of redemption as reclaiming God’s possession.",,,,,,,,,
  pcred | https://www.biblicaltheology.org/pcred.pdf,,,,,,,,,,,,,,,,,,,,,,
  “The Pauline Conception of Redemption” The Bible Student 5:51-58. [1902] In a previous number of The Bible Student we examined the Pauline conception of reconciliation, which we found to belong to the military sphere, its result being conceived by the apostle as peace. The conception now before us belongs to the commercial sphere. Of course, underneath both lies the more fundamental forensic mode of viewing the work of Christ, which corresponds to the Pauline idea of righteousness. It will be mo …,,,,,,,,,,,,,,,,,,
#NAME?, p_index=2: Explicitly interprets 1 Cor 6:20: bought at great cost, establishing God’s claim to believers’ obedience; not intended to specify to whom the ransom was paid.,,,,,,,,,,,,,,,,,,,,
  pcred | https://www.biblicaltheology.org/pcred.pdf,,,,,,,,,,,,,,,,,,,,,,
  a view to the redemption of God’s own possession. And in 4:30 the readers are said to have been sealed in the Holy Spirit of God unto the day of redemption. The Holy Spirit marks them as God’s property, which he will reclaim at the end. It is not possible to determine whether in the instances quoted the apostle, besides implying the notion of “recovery,” also means to imply the further thought that this recovery rests on the legal basis of the payment of a ransom price. In the other passages," ho …""",gpt-5,v1,2025-12-16T06:27:18-05:00,ok,,,,,,,,,,,,,,
1Cor 7:26,1Cor,7,26,26,,因現今的艱難，據我看來，人不如守素安常纔好。,1,"The paragraph links 1 Corinthians 7:26 (“the present distress”) to the Jewish concept of the Messianic woes—birth pangs that precede the new age—and says the NT applies this to Christ’s parousia. Thus, Paul’s counsel is framed by an expectation of imminent tribulation as a precursor to the end.",该段将哥林多前书7:26的“现今的艰难”与犹太传统中的“弥赛亚的产难”（末世来临前的患难）相连，并指出新约把此概念应用到基督的再临。因此，保罗的劝勉是基于对临近末世患难的预期。,"[""“Woes of the Messiah” (birth pangs) are a Jewish concept transferred in the NT to Christ’s parousia."", ""These woes function as signs preceding the end (wars, earthquakes, famines, tribulations)."", ""1 Corinthians 7:26 probably alludes to these woes via the phrase “present distress.”"", ""Paul’s advice to remain as one is reflects an eschatological awareness of impending tribulation.""]","[""“弥赛亚的产难”是犹太传统概念，新约将其应用于基督再临。"", ""这些“患难/产难”作为末世先兆（战争、地震、饥荒、大患难等）。"", ""哥林多前书7:26的“现今的艰难”很可能是对这些末世患难的暗指。"", ""保罗劝人“守素安常”与临近患难的末世意识相关。""]",ent — https://www.biblicaltheology.org/ent.pdf,"- para_id=168, p_index=12: Explicitly states that there are probable allusions to the Messianic woes in 1 Corinthians 7:26, framing it within signs preceding the parousia.",,,,,,,,,
  ent | https://www.biblicaltheology.org/ent.pdf,,,,,,,,,,,,,,,,,,,,,,
  2. Signs Preceding the Parousia: The parousia is preceded by certain signs heralding its approach. Judaism, on the basis of the Old Testament, had worked out the doctrine of “the woes of the Messiah,” chebhele ha-mashiach, the calamities and afflictions attendant upon the close of the present and the beginning of the coming age being interpreted as birth pains of the latter. This is transferred in the New Testament to the parousia of Christ. The phrase occurs only in Matthew 24:8; Mark 13:8," the …""",gpt-5,v1,2025-12-16T06:27:51-05:00,ok,,,,,,,,,,,,,
1Cor 7:31,1Cor,7,31,31,,用世物的，要像不用世物，因為這世界的樣子將要過去了。,1,"The verse is used to support that the present form of this world is passing away as part of eschatological “regeneration.” This does not teach annihilation of creation but its transformation/renewal. In the consummation, the redeemed dwell centrally in heaven, while a renewed earth remains accessible and part of their inheritance.",此处将林前7:31用作证据，说明“现今世界的样子将要过去”是末世性“更新/再生”的一部分。这并非教导受造界被消灭，而是被更新转化。成全之时，得赎者以天上为主要居所，同时更新后的地仍可进入并成为产业的一部分。,"[""1 Corinthians 7:31 is cited among texts teaching the eschatological ‘regeneration’ in which the present world-order is passing away."", ""The passing away does not imply annihilation of the world’s substance, but its transformation/renewal."", ""The redeemed’s central abode will be in heaven, with the renewed earth remaining accessible and part of their inheritance.""]","[""林前7:31被列入见证末世“更新/再生”的经文，说明现今世界的样式正在过去。"", ""这种“过去”并非受造界本质的消灭，而是更新与转化。"", ""得赎者最终以天上为中心的居所，同时更新的地仍可进入并属于其产业。""]",ent — https://www.biblicaltheology.org/ent.pdf,"- para_id=195, p_index=39: Lists 1 Corinthians 7:31 among passages describing eschatological regeneration and the world’s passing form.",,,,,,,,,
  ent | https://www.biblicaltheology.org/ent.pdf,,,,,,,,,,,,,,,,,,,,,,
  by the eschatological palingenesia “regeneration” (Matthew 5:18; 19:28; 24:35; 1 Corinthians 7:31; Hebrews 1:12; 12:26, 27; 2 Peter 3:10; 1 John 2:17; Revelation 21:1, in which last passage, however, some exegetes understand the city to be a symbol of the church, the people of God). An annihilation of the substance of the present world is not taught (compare the comparison of the future worldconflagration with the Deluge in 2 Peter 3:6). The central abode of the redeemed will be in heaven," altho …""",gpt-5,v1,2025-12-16T06:28:33-05:00,ok,,,,,,,,,,,,
1Cor 7:39,1Cor,7,39,39,,丈夫活着的時候，妻子是被約束的；丈夫若死了，妻子就可以自由，隨意再嫁，只是要嫁這在主裏面的人。,1,"The paragraph cites 1 Corinthians 7:39 as an instance where death is described as “falling asleep.” It argues this “sleep” language is a figurative New Testament usage, especially in Paul, applied to believers. It does not teach soul-unconsciousness: the ‘sleep’ is predicated of the person relative to earthly life, not of the spirit in the intermediate state. Thus, in 7:39 the husband’s “falling asleep” simply means he has died, without implying the dead are unconscious.",该段以林前7:39为“以睡眠表述死亡”的例证。指出新约（尤其保罗）将“睡了”作为比喻性用语，多用于信徒身上，并不意味着灵魂无知觉；“睡了”是指人对现世生活不再有联系，而非灵魂在中间状态中昏睡。因此，林前7:39中丈夫“睡了”即指他已去世，并不暗示死者无意识。,"[""In 1 Cor 7:39 the husband’s death is expressed as “falling asleep.”"", ""“Sleep” for death is a figurative NT usage, especially in Paul, typically of believers."", ""It is predicated of the person with respect to earthly life, not of the soul/spirit."", ""It does not teach soul-unconsciousness in the intermediate state.""]","[""林前7:39将丈夫的死亡表述为“睡了”。"", ""“睡了”作死亡是新约的比喻性用法，保罗尤其常用，且多指信徒。"", ""此“睡”是相对于今世生命的断绝，而非指灵魂本身。"", ""这并不支持“灵魂无意识”的看法。""]",ent — https://www.biblicaltheology.org/ent.pdf,"- para_id=196, p_index=40: Lists 1 Cor 7:39 among texts using “sleep” for death and explains the figurative nature and implications (not soul-unconsciousness, applied to believers).",,,,,,,,,
  ent | https://www.biblicaltheology.org/ent.pdf,,,,,,,,,,,,,,,,,,,,,,
  X. The Intermediate State In regard to the state of the dead, previously to the parousia and the resurrection, the New Testament is far less explicit than in its treatment of what belongs to general eschatology. The following points may here briefly be noted: (1) The state of death is frequently represented as a “sleeping,” just as the act of dying as a “falling asleep” (Matthew 9:24; John 9:4; 11:11; 1 Corinthians 7:39; 11:30; 15:6,18,20, 51; 1 Thessalonians 4:13," 15; 2 Peter 3:4). This usage …""",gpt-5,v1,2025-12-16T06:29:17-05:00,ok,,,,,,,,,,,
